;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);34;47;658;957
2;в том числе       инженерные;;18;;429
3;медицинские;;;;
4;космические;;;;
5;педагогические;3;24;62;423
6;аграрные;17;;292;
7;предпринимательские;;;;
8;кадетские;4;3;103;75
9;IT-классы;;;;
10;другие;10;2;201;30
